post_id,href,post_title,date,post,raw_company,raw_title,raw_yoe,raw_salary,raw_salary_total,raw_location,company,title,location,yoe,salary,salary_total
1630130,https://leetcode.com/discuss/compensation/1630130/NVIDIA-or-IC1-or-PPO,NVIDIA | IC1 | PPO,2021/12/15,"Education: B.Tech in Computer Science (Tier 3)
Years of Experience: 6 months intern
Stipend: 50k per month
Prior Experience: Interned at Nvidia ( software team )
Company: Nvidia
Title/Level: IC1
Location: Pune, India
Base: 1,550,000
Retirals: 130,278
Sign on Bonus: 300,000
Value of key benefits: 75,970
Equity Value - Overall 4 Years: 1,700,000
Equity Value – Annual: 425,000
Total Compensation + Equity of 1 year: 2,481,248",nvidia,ic1,6 months intern,"1,550,000","+ equity of 1 year: 2,481,248","pune, india",nvidia,ic1,pune,0.5,1550000.0,2481248.0
1108838,https://leetcode.com/discuss/compensation/1108838/Adobe-or-MTS-2-or-Noida,Adobe | MTS-2 | Noida,2021/03/14,"Education : B.Tech in Computer Science from a tier-3 university in India ( though among the best in State )
Years of Experience : 3.5
Prior Experience : Product based company (In-house IT).
Date of the Offer : March 2021
Company : Adobe
Title/Level : Member of Techincal Staff 2
Location : Noida, India
Salary : INR 19,00,000 Base (Including PF & Gratuity)
Signing Bonus : INR 2,00,000
Stock bonus : 40K USD over 4 years (~INR 7.5L per year)
Performance Bonus : INR 2,00,000
Total comp (Salary + Bonus + Stock) : INR 30,00,000 first year
Benefits : Standard Adobe benefits.
Other details : Previous TC was 10LPA (fixed).
Did not negtiate on this offer as it was my dream company.",adobe,member of techincal staff 2,3.5,"inr 19,00,000 base",": inr 30,00,000 first year","noida, india",adobe,mts 2,delhi,3.5,1900000.0,3000000.0
1368437,https://leetcode.com/discuss/compensation/1368437/Cognizant-or-Associate-Projects-or-Pan-India,Cognizant | Associate-Projects | Pan India,2021/07/28,"Education: M.Tech from IIT
Years of Experience : 1 year
Date of the Offer: 2nd December 2020 (On campus offer)
Company: Adobe
Title/Level: Member of Techincal Staff
Location: India (Bangalore/Noida)
Base Salary: ₹1,250,000
Annual Incentive Plan (Variable) : ₹ 125,000
PF Contribution (Employer): ₹ 71,136
Gratuity : ₹ 28,514
Joining Bonus: ₹ 200,000
Deferred Bonus (paid out after completion of first 12 months): ₹ 300,000
Stocks: ₹ 1,000,000 vested over 4 years (₹ 250,000 per year)
Total compensation for 1st year: ₹ 1,924,650 (₹1,250,000 + ₹125,000 + ₹71,136 + ₹28,514 + ₹200,000 + ₹250,000)
Benefits:
Wellness reimbursement india : ₹44,309 (USD 600)
Professional Reimbursment: ₹72,900 (USD 1,000)
Educational Reimbursment: ₹729,000 (USD 10,000)
Patent Bonus: ₹525,517 (USD 7,200)
Other standard benefits: https://benefits.adobe.com/in",adobe,member of techincal staff,1 year,"₹1,250,000",": ₹ 1,924,650 (₹1,250,000 + ₹125,000 + ₹71,136 + ₹28,514 + ₹200,000 + ₹250,000)",india,adobe,mts 1,india,1.0,1250000.0,-1.0
1424300,https://leetcode.com/discuss/compensation/1424300/Reliance-Jio-or-Make-My-Trip-or-Suggestions,Reliance Jio | Make My Trip | Suggestions,2021/08/25,"Education: M.Sc. CS
Years of Experience: 3
Current Experience: Byju's
Current CTC :- 12 LPA (11.4 fixed)
Company: Reliance JIO
Title/Level: SDE2
Location: Bangalore
Salary: 17.8 LPA
Relocation/Signing Bonus: 0
Stock bonus: 0
Bonus: 1.7 LPA(Performance linked incentive)
Retention Bonus : 1 L
Total comp (Salary + Bonus + Stock): 20.5 LPA (Including retention bonus)
Benefits: No such company benefits
Other details: Not yet accepted the offer. I will not be eligible for 2022 appraisal cycle, that's why they are giving the retention bonus.
Company: Make My Trip
Title/Level: SDE
Location: Bangalore
Salary: 19 LPA
Relocation/Signing Bonus: 0
Stock bonus: 0
Bonus: 1 LPA(Performance linked incentive)
Retention Bonus : 0
Total comp (Salary + Bonus + Stock): 20 LPA
Benefits: Standard GO-MMT benefits
Other details: Not yet accepted the offer. I will be eligible for next appraisal cycle.
I am not sure which one to choose? Any suggestions?",reliance jio,sde2,3,17.8 lpa,: 20.5 lpa (including retention bonus),bangalore,reliance jio,sde 2,bangalore,3.0,1780000.0,2050000.0
1611471,https://leetcode.com/discuss/compensation/1611471/Tekion-or-SSE-or-Bangalore,Tekion | SSE | Bangalore,2021/12/04,"Education: B.Tech in tier1 college
Years of Experience: 5 yrs 4 months
Prior Experience: SDE 2
Date of the Offer: 2021
Company: Tekion
Title/Level: SSE
Location: Bangalore, India
Salary: INR 48,00,000
Signing Bonus: INR 7,00,000
Stock Options (Provided): INR 8,00,000
Total comp: INR 62,00,000
Benefits: Standard
Other details: Negotiated hard",tekion,sse,5 yrs 4 months,"inr 48,00,000",": inr 62,00,000","bangalore, india",tekion,sde 2,bangalore,5.333333333333333,4800000.0,6200000.0
895304,https://leetcode.com/discuss/compensation/895304/ThoughtWorks-or-Analyst-or-Bengaluru,ThoughtWorks | Analyst | Bengaluru,2020/10/15,"Education: B.Tech.
Years of Experience: 1 Years
Experience: Applications Engineer in an MNC
Date of the Offer: October 2020
Company: ThoughtWorks Technologies Private Limited
Title/Level: Analyst
Location: Bengaluru
Salary: INR 20,00,000
Relocation: NA
Signing Bonus: INR 5,00,000
Stock bonus: NA
Performance Bonus: Upto INR 2,50,000
Total comp (Salary + Bonus): INR 27,50,000
Benefits: Other monetary/non-monetary benefits
Other details: NA
Interview Experience : ThoughtWorks Technologies Private Limited Analyst Interview Experience",thoughtworks technologies private limited,analyst,1 years,"inr 20,00,000",": inr 27,50,000",bengaluru,thoughtworks,analyst,bangalore,1.0,2000000.0,2750000.0
1367710,https://leetcode.com/discuss/compensation/1367710/Intuit-or-SDE2-or-Bangalore,Intuit | SDE2 | Bangalore,2021/07/28,"Education: B.Tech From Tier-1
Years of Experience: 5
Prior Experience: At a product company
Previous Comp : 25 LPA
Date of the Offer: June 2020
Company: Amazon
Title/Level: SDE 2
Location: Banglore
Salary: 29 LPA
Relocation Bonus: Rs 1,50,000
Stock bonus: 28 RSUs vested over 4 years
Signing Bonus: 17 Lacs (1st year) + 14 Lacs (2nd Year)
Total comp (Salary + Bonus + Stock): Around 50 LPA for 1st year
Other Details: Didn't negotiate on the offer",amazon,sde 2,5,29 lpa,: around 50 lpa for 1st year,banglore,amazon,sde 2,bangalore,5.0,2900000.0,5000000.0
379224,https://leetcode.com/discuss/compensation/379224/Oyo-Rooms-or-WDE-(1)-or-Hyderabad,Oyo Rooms | WDE (1) | Hyderabad,2019/09/10,"Education: B.Tech Computer Science (Tier 1/2 Institute)
Prior Experience: 2 Years as a Software Engineer
Date of the Offer: 16 August, 2019
Company: OYO Rooms
Title/Level: Web Development Engineer
Location: Hyderabad
Salary: 19,00,000 (Including EPF and Grautity)
Relocation/Signing Bonus: None
Stock bonus: None
Bonus: 2,75,000 per year.
Total comp (Salary + Bonus + Stock): 21,75,000
Benefits: Medical Cover
Other details: Already had an offer in hand so they matched that offer.",oyo rooms,web development engineer,,"19,00,000",": 21,75,000",hyderabad,oyo,sde 1,hyderabad,-1.0,1900000.0,2175000.0
1617982,https://leetcode.com/discuss/compensation/1617982/Compass-or-SDE-2-or-Hyderabad,Compass | SDE-2 | Hyderabad,2021/12/08,"Education: B.Tech: Non IIT
Years of Experience: 3yrs 3 Months
Prior Experience: SDE2 in midlevel company
Current TC: 32L Total
Offer Company: Compass
Title/Level: SDE-2
Location: Hyderabad
Salary: INR 38L
Performance bonus: 3.8
Joining Bonus: 4L
Relocation: 1L
Stock bonus: 25L over 4 years
Total Year 1 Comp : 38+4+1+6+3.8 = 53L
Refreshers: 8L/4 years
Have 2 competing offers, rejected one due to lowball, have another one offering similar comp. After reading about compass here thinking of rejecting it. Although I didnt find anything negative about it on Blind.",compass,sde-2,3yrs 3 months,inr 38l,,hyderabad,compass,sde 2,hyderabad,3.25,3800000.0,-1.0
1370522,https://leetcode.com/discuss/compensation/1370522/Druva-or-Software-Engineer-or-Pune-India,"Druva | Software Engineer | Pune, India",2021/07/29,"Education: M.Tech (Work Integrated Learning Program) BITS, Pilani
Years of Experience: 2 (while pursuing M.Tech)
Prior Experience: Scholar@SAP
Company: Druva
Title/Level: Software Engineer
Location: Pune (Currently WFH)
Salary: ₹14,72,500
Relocation/Signing Bonus: ₹0
Bonus: Performance based ₹77,500/-
ESOPs: 1300 units vested over 4 years
Total comp (Salary + Bonus + Stock): ₹17,15,779* at the end of first year
Benefits: Standard Druva Benefits
Other details: Prior TC - ₹3,00,000
Interview Experience: Druva Interview Experience",druva,software engineer,2,"₹14,72,500",": ₹17,15,779* at the end of first year",pune,druva,sde 1,pune,2.0,1472500.0,1715779.0
